StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM
Nt,ri,wt,tf,bt,cf,hs,wbi,turns,angle,torque,Nm,rsh,rr,wm,dm,mf,angle,Torque: 0.5,Torque: 0.6,Torque: 0.7
6,30,10,0.5,10,0.7,10,10,100,0,0.0006416106,4,6,26,7,6,0.5,0,-0.0006416107,-0.0081696611,0.0035510387
6,30,10,0.5,10,0.7,10,10,100,0,-0.0318637646,4,6,26,7,6,0.5,3,0.0318637647,-0.0444249133,-0.0235969571
6,30,10,0.5,10,0.7,10,10,100,0,-0.1296669071,4,6,26,7,6,0.5,6,0.1296669071,-0.0658264617,-0.0862771902
6,30,10,0.5,10,0.7,10,10,100,0,-0.2491847721,4,6,26,7,6,0.5,9,0.2491847722,0.0107624799,-0.1291604527
6,30,10,0.5,10,0.7,10,10,100,0,-0.1922458935,4,6,26,7,6,0.5,12,0.1922458937,0.0676351418,-0.0885019073
6,30,10,0.5,10,0.7,10,10,100,0,-0.0051335938,4,6,26,7,6,0.5,15,0.0051335938,-0.01466025,-0.0031311875
6,30,10,0.5,10,0.7,10,10,100,0,0.1805044316,4,6,26,7,6,0.5,18,-0.1805044316,-0.0612213429,0.0860291292
6,30,10,0.5,10,0.7,10,10,100,0,0.2564516346,4,6,26,7,6,0.5,21,-0.2564516346,-0.0461026355,0.1291664859
6,30,10,0.5,10,0.7,10,10,100,0,0.1471022417,4,6,26,7,6,0.5,24,-0.1471022417,0.0519307206,0.0751612011
6,30,10,0.5,10,0.7,10,10,100,0,0.0185619329,4,6,26,7,6,0.5,27,-0.018561933,0.0523997136,0.0341507931
6,30,10,0.5,10,0.7,10,10,100,0,-0.0073773584,4,6,26,7,6,0.5,30,0.0073773585,-0.0024926105,-0.0320074168
6,30,10,0.5,10,0.7,10,10,100,0,-0.052813299,4,6,26,7,6,0.5,33,0.0528132988,-0.0562627106,-0.0619263281
6,30,10,0.5,10,0.7,10,10,100,0,-0.1042630283,4,6,26,7,6,0.5,36,0.1042630282,-0.0500865529,-0.1135751853
6,30,10,0.5,10,0.7,10,10,100,0,-0.240356187,4,6,26,7,6,0.5,39,0.2403561872,0.0310502835,-0.127308724
6,30,10,0.5,10,0.7,10,10,100,0,-0.2018258144,4,6,26,7,6,0.5,42,0.2018258143,0.0623503422,-0.0849951583
6,30,10,0.5,10,0.7,10,10,100,0,-0.0327093032,4,6,26,7,6,0.5,45,0.0327093033,0.0094379983,0.0094253365
6,30,10,0.5,10,0.7,10,10,100,0,0.1711637654,4,6,26,7,6,0.5,48,-0.1711637654,-0.0474329495,0.0993179137
6,30,10,0.5,10,0.7,10,10,100,0,0.251643498,4,6,26,7,6,0.5,51,-0.2516434979,-0.0095684973,0.1162384409
6,30,10,0.5,10,0.7,10,10,100,0,0.142337843,4,6,26,7,6,0.5,54,-0.1423378428,0.0609871346,0.1232114945
6,30,10,0.5,10,0.7,10,10,100,0,0.0408775926,4,6,26,7,6,0.5,57,-0.0408775924,0.0614181475,0.0647085451
6,30,10,0.5,10,0.7,10,10,100,0,0.0035877786,4,6,26,7,6,0.5,60,-0.0035877782,-0.0063861696,-0.0082806449
6,30,10,0.5,10,0.7,10,10,100,0,-0.0252256897,4,6,26,7,6,0.5,63,0.0252256901,-0.0305926867,-0.0166151192
6,30,10,0.5,10,0.7,10,10,100,0,-0.1237804046,4,6,26,7,6,0.5,66,0.1237804047,-0.0445232342,-0.0911828848
6,30,10,0.5,10,0.7,10,10,100,0,-0.2401466837,4,6,26,7,6,0.5,69,0.240146684,0.01292157,-0.1049325707
6,30,10,0.5,10,0.7,10,10,100,0,-0.1771862242,4,6,26,7,6,0.5,72,0.1771862241,0.0688070579,-0.0952248705
6,30,10,0.5,10,0.7,10,10,100,0,-0.0091033341,4,6,26,7,6,0.5,75,0.0091033341,-0.0244535081,0.0086985765
6,30,10,0.5,10,0.7,10,10,100,0,0.2045174968,4,6,26,7,6,0.5,78,-0.2045174969,-0.0649669093,0.0902334129
6,30,10,0.5,10,0.7,10,10,100,0,0.2461507128,4,6,26,7,6,0.5,81,-0.2461507129,-0.0208155225,0.1234708744
